survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,dest
1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",F,76,1,0,19877,78.85,C46,S,6,,"Little Onn Hall, Staffs"
0,1,"Chaffee, Mr. Herbert Fuller",M,46,1,0,W.E.P. 5734,61.175,E31,S,,,"Amenia, ND"
1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",F,47,1,0,W.E.P. 5734,61.175,E31,S,4,,"Amenia, ND"
1,1,"Chambers, Mr. Norman Campbell",M,27,1,0,113806,53.1,E8,S,5,,"New York, NY / Ithaca, NY"
1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",F,33,1,0,113806,53.1,E8,S,5,,"New York, NY / Ithaca, NY"
1,1,"Chaudanson, Miss. Victorine",F,36,0,0,PC 17608,262.375,B61,C,4,,
1,1,"Cherry, Miss. Gladys",F,30,0,0,110152,86.5,B77,S,8,,"London, England"
1,1,"Chevre, Mr. Paul Romaine",M,45,0,0,PC 17594,29.7,A9,C,7,,"Paris, France"
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",F,,0,1,113505,55,E33,S,6,,"St Leonards-on-Sea, England Ohio"
0,1,"Chisholm, Mr. Roderick Robert Crispin",M,,0,0,112051,0,,S,,,"Liverpool, England / Belfast"
0,1,"Clark, Mr. Walter Miller",M,27,1,0,13508,136.7792,C89,C,,,"Los Angeles, CA"
1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",F,26,1,0,13508,136.7792,C89,C,4,,"Los Angeles, CA"
1,1,"Cleaver, Miss. Alice",F,22,0,0,113781,151.55,,S,11,,
0,1,"Clifford, Mr. George Quincy",M,,0,0,110465,52,A14,S,,,"Stoughton, MA"
0,1,"Colley, Mr. Edward Pomeroy",M,47,0,0,5727,25.5875,E58,S,,,"Victoria, BC"
1,1,"Compton, Miss. Sara Rebecca",F,39,1,1,PC 17756,83.1583,E49,C,14,,"Lakewood, NJ"
0,1,"Compton, Mr. Alexander Taylor Jr",M,37,1,1,PC 17756,83.1583,E52,C,,,"Lakewood, NJ"
1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",F,64,0,2,PC 17756,83.1583,E45,C,14,,"Lakewood, NJ"
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",F,55,2,0,11770,25.7,C101,S,2,,"New York, NY"
0,1,"Crafton, Mr. John Bertram",M,,0,0,113791,26.55,,S,,,"Roachdale, IN"
0,1,"Crosby, Capt. Edward Gifford",M,70,1,1,WE/P 5735,71,B22,S,,269,"Milwaukee, WI"
1,1,"Crosby, Miss. Harriet R",F,36,0,2,WE/P 5735,71,B22,S,7,,"Milwaukee, WI"
1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",F,64,1,1,112901,26.55,B26,S,7,,"Milwaukee, WI"
0,1,"Cumings, Mr. John Bradley",M,39,1,0,PC 17599,71.2833,C85,C,,,"New York, NY"
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",F,38,1,0,PC 17599,71.2833,C85,C,4,,"New York, NY"
1,1,"Daly, Mr. Peter Denis ",M,51,0,0,113055,26.55,E17,S,5 9,,"Lima, Peru"
1,1,"Daniel, Mr. Robert Williams",M,27,0,0,113804,30.5,,S,3,,"Philadelphia, PA"
1,1,"Daniels, Miss. Sarah",F,33,0,0,113781,151.55,,S,8,,
0,1,"Davidson, Mr. Thornton",M,31,1,0,F.C. 12750,52,B71,S,,,"Montreal, PQ"
1,1,"Davidson, Mrs. Thornton (Orian Hays)",F,27,1,2,F.C. 12750,52,B71,S,3,,"Montreal, PQ"
1,1,"Dick, Mr. Albert Adrian",M,31,1,0,17474,57,B20,S,3,,"Calgary, AB"
1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",F,17,1,0,17474,57,B20,S,3,,"Calgary, AB"
1,1,"Dodge, Dr. Washington",M,53,1,1,33638,81.8583,A34,S,13,,"San Francisco, CA"
1,1,"Dodge, Master. Washington",M,4,0,2,33638,81.8583,A34,S,5,,"San Francisco, CA"
1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",F,54,1,1,33638,81.8583,A34,S,5,,"San Francisco, CA"
0,1,"Douglas, Mr. Walter Donald",M,50,1,0,PC 17761,106.425,C86,C,,62,"Deephaven, MN / Cedar Rapids, IA"
1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",F,27,1,1,PC 17558,247.5208,B58 B60,C,6,,"Montreal, PQ"
1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",F,48,1,0,PC 17761,106.425,C86,C,2,,"Deephaven, MN / Cedar Rapids, IA"
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",F,48,1,0,11755,39.6,A16,C,1,,London / Paris
1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",M,49,1,0,PC 17485,56.9292,A20,C,1,,London / Paris
0,1,"Dulles, Mr. William Crothers",M,39,0,0,PC 17580,29.7,A18,C,,133,"Philadelphia, PA"
1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",F,23,0,1,11767,83.1583,C54,C,7,,"Mt Airy, Philadelphia, PA"
1,1,"Endres, Miss. Caroline Louise",F,38,0,0,PC 17757,227.525,C45,C,4,,"New York, NY"
1,1,"Eustis, Miss. Elizabeth Mussey",F,54,1,0,36947,78.2667,D20,C,4,,"Brookline, MA"
0,1,"Evans, Miss. Edith Corse",F,36,0,0,PC 17531,31.6792,A29,C,,,"New York, NY"
0,1,"Farthing, Mr. John",M,,0,0,PC 17483,221.7792,C95,S,,,
1,1,"Flegenheim, Mrs. Alfred (Antoinette)",F,,0,0,PC 17598,31.6833,,S,7,,"New York, NY"
1,1,"Fleming, Miss. Margaret",F,,0,0,17421,110.8833,,C,4,,
1,1,"Flynn, Mr. John Irwin (""Irving"")",M,36,0,0,PC 17474,26.3875,E25,S,5,,"Brooklyn, NY"
0,1,"Foreman, Mr. Benjamin Laventall",M,30,0,0,113051,27.75,C111,C,,,"New York, NY"
1,1,"Fortune, Miss. Alice Elizabeth",F,24,3,2,19950,263,C23 C25 C27,S,10,,"Winnipeg, MB"
1,1,"Fortune, Miss. Ethel Flora",F,28,3,2,19950,263,C23 C25 C27,S,10,,"Winnipeg, MB"
1,1,"Fortune, Miss. Mabel Helen",F,23,3,2,19950,263,C23 C25 C27,S,10,,"Winnipeg, MB"
0,1,"Fortune, Mr. Charles Alexander",M,19,3,2,19950,263,C23 C25 C27,S,,,"Winnipeg, MB"
0,1,"Fortune, Mr. Mark",M,64,1,4,19950,263,C23 C25 C27,S,,,"Winnipeg, MB"
1,1,"Fortune, Mrs. Mark (Mary McDougald)",F,60,1,4,19950,263,C23 C25 C27,S,10,,"Winnipeg, MB"
1,1,"Francatelli, Miss. Laura Mabel",F,30,0,0,PC 17485,56.9292,E36,C,1,,
0,1,"Franklin, Mr. Thomas Parham",M,,0,0,113778,26.55,D34,S,,,"Westcliff-on-Sea, Essex"
1,1,"Frauenthal, Dr. Henry William",M,50,2,0,PC 17611,133.65,,S,5,,"New York, NY"
1,1,"Frauenthal, Mr. Isaac Gerald",M,43,1,0,17765,27.7208,D40,C,5,,"New York, NY"
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",F,,1,0,PC 17611,133.65,,S,5,,"New York, NY"
1,1,"Frolicher, Miss. Hedwig Margaritha",F,22,0,2,13568,49.5,B39,C,5,,"Zurich, Switzerland"
1,1,"Frolicher-Stehli, Mr. Maxmillian",M,60,1,1,13567,79.2,B41,C,5,,"Zurich, Switzerland"
1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",F,48,1,1,13567,79.2,B41,C,5,,"Zurich, Switzerland"
0,1,"Fry, Mr. Richard",M,,0,0,112058,0,B102,S,,,
0,1,"Futrelle, Mr. Jacques Heath",M,37,1,0,113803,53.1,C123,S,,,"Scituate, MA"
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",F,35,1,0,113803,53.1,C123,S,D,,"Scituate, MA"
0,1,"Gee, Mr. Arthur H",M,47,0,0,111320,38.5,E63,S,,275,"St Anne's-on-Sea, Lancashire"
1,1,"Geiger, Miss. Amalie",F,35,0,0,113503,211.5,C130,C,4,,
1,1,"Gibson, Miss. Dorothy Winifred",F,22,0,1,112378,59.4,,C,7,,"New York, NY"
1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",F,45,0,1,112378,59.4,,C,7,,"New York, NY"
0,1,"Giglio, Mr. Victor",M,24,0,0,PC 17593,79.2,B86,C,,,
1,1,"Goldenberg, Mr. Samuel L",M,49,1,0,17453,89.1042,C92,C,5,,"Paris, France / New York, NY"
1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",F,,1,0,17453,89.1042,C92,C,5,,"Paris, France / New York, NY"
0,1,"Goldschmidt, Mr. George B",M,71,0,0,PC 17754,34.6542,A5,C,,,"New York, NY"
1,1,"Gracie, Col. Archibald IV",M,53,0,0,113780,28.5,C51,C,B,,"Washington, DC"
1,1,"Graham, Miss. Margaret Edith",F,19,0,0,112053,30,B42,S,3,,"Greenwich, CT"
0,1,"Graham, Mr. George Edward",M,38,0,1,PC 17582,153.4625,C91,S,,147,"Winnipeg, MB"
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",F,58,0,1,PC 17582,153.4625,C125,S,3,,"Greenwich, CT"
1,1,"Greenfield, Mr. William Bertram",M,23,0,1,PC 17759,63.3583,D10 D12,C,7,,"New York, NY"
1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",F,45,0,1,PC 17759,63.3583,D10 D12,C,7,,"New York, NY"
0,1,"Guggenheim, Mr. Benjamin",M,46,0,0,PC 17593,79.2,B82 B84,C,,,"New York, NY"
1,1,"Harder, Mr. George Achilles",M,25,1,0,11765,55.4417,E50,C,5,,"Brooklyn, NY"
1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",F,25,1,0,11765,55.4417,E50,C,5,,"Brooklyn, NY"
1,1,"Harper, Mr. Henry Sleeper",M,48,1,0,PC 17572,76.7292,D33,C,3,,"New York, NY"
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",F,49,1,0,PC 17572,76.7292,D33,C,3,,"New York, NY"
0,1,"Harrington, Mr. Charles H",M,,0,0,113796,42.4,,S,,,
0,1,"Harris, Mr. Henry Birkhardt",M,45,1,0,36973,83.475,C83,S,,,"New York, NY"
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",F,35,1,0,36973,83.475,C83,S,D,,"New York, NY"
0,1,"Harrison, Mr. William",M,40,0,0,112059,0,B94,S,,110,
1,1,"Hassab, Mr. Hammad",M,27,0,0,PC 17572,76.7292,D49,C,3,,
1,1,"Hawksford, Mr. Walter James",M,,0,0,16988,30,D45,S,3,,"Kingston, Surrey"
1,1,"Hays, Miss. Margaret Bechstein",F,24,0,0,11767,83.1583,C54,C,7,,"New York, NY"
0,1,"Hays, Mr. Charles Melville",M,55,1,1,12749,93.5,B69,S,,307,"Montreal, PQ"
1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",F,52,1,1,12749,93.5,B69,S,3,,"Montreal, PQ"
0,1,"Head, Mr. Christopher",M,42,0,0,113038,42.5,B11,S,,,London / Middlesex
0,1,"Hilliard, Mr. Herbert Henry",M,,0,0,17463,51.8625,E46,S,,,"Brighton, MA"
0,1,"Hipkins, Mr. William Edward",M,55,0,0,680,50,C39,S,,,London / Birmingham
1,1,"Hippach, Miss. Jean Gertrude",F,16,0,1,111361,57.9792,B18,C,4,,"Chicago, IL"
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",F,44,0,1,111361,57.9792,B18,C,4,,"Chicago, IL"
1,1,"Hogeboom, Mrs. John C (Anna Andrews)",F,51,1,0,13502,77.9583,D11,S,10,,"Hudson, NY"
0,1,"Holverson, Mr. Alexander Oskar",M,42,1,0,113789,52,,S,,38,"New York, NY"
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",F,35,1,0,113789,52,,S,8,,"New York, NY"
1,1,"Homer, Mr. Harry (""Mr E Haven"")",M,35,0,0,111426,26.55,,C,15,,"Indianapolis, IN"
1,1,"Hoyt, Mr. Frederick Maxfield",M,38,1,0,19943,90,C93,S,D,,"New York, NY /  Stamford CT"
0,1,"Hoyt, Mr. William Fisher",M,,0,0,PC 17600,30.6958,,C,14,,"New York, NY"
1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",F,35,1,0,19943,90,C93,S,D,,"New York, NY /  Stamford CT"
1,1,"Icard, Miss. Amelie",F,38,0,0,113572,80,B28,,6,,
0,1,"Isham, Miss. Ann Elizabeth",F,50,0,0,PC 17595,28.7125,C49,C,,,"Paris, France New York, NY"
1,1,"Ismay, Mr. Joseph Bruce",M,49,0,0,112058,0,B52 B54 B56,S,C,,Liverpool
0,1,"Jones, Mr. Charles Cresson",M,46,0,0,694,26,,S,,80,"Bennington, VT"
0,1,"Julian, Mr. Henry Forbes",M,50,0,0,113044,26,E60,S,,,London
0,1,"Keeping, Mr. Edwin",M,32.5,0,0,113503,211.5,C132,C,,45,
0,1,"Kent, Mr. Edward Austin",M,58,0,0,11771,29.7,B37,C,,258,"Buffalo, NY"
0,1,"Kenyon, Mr. Frederick R",M,41,1,0,17464,51.8625,D21,S,,,"Southington / Noank, CT"
1,1,"Kenyon, Mrs. Frederick R (Marion)",F,,1,0,17464,51.8625,D21,S,8,,"Southington / Noank, CT"
1,1,"Kimball, Mr. Edwin Nelson Jr",M,42,1,0,11753,52.5542,D19,S,5,,"Boston, MA"
1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",F,45,1,0,11753,52.5542,D19,S,5,,"Boston, MA"
0,1,"Klaber, Mr. Herman",M,,0,0,113028,26.55,C124,S,,,"Portland, OR"
1,1,"Kreuchen, Miss. Emilie",F,39,0,0,24160,211.3375,,S,2,,
1,1,"Leader, Dr. Alice (Farnham)",F,49,0,0,17465,25.9292,D17,S,8,,"New York, NY"
1,1,"LeRoy, Miss. Bertha",F,30,0,0,PC 17761,106.425,,C,2,,
1,1,"Lesurer, Mr. Gustave J",M,35,0,0,PC 17755,512.3292,B101,C,3,,
0,1,"Lewy, Mr. Ervin G",M,,0,0,PC 17612,27.7208,,C,,,"Chicago, IL"
0,1,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",M,42,0,0,17475,26.55,,S,,,"Stockholm, Sweden"
1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",F,55,0,0,112377,27.7208,,C,6,,"Stockholm, Sweden"
1,1,"Lines, Miss. Mary Conover",F,16,0,1,PC 17592,39.4,D28,S,9,,"Paris, France"
1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",F,51,0,1,PC 17592,39.4,D28,S,9,,"Paris, France"
0,1,"Long, Mr. Milton Clyde",M,29,0,0,113501,30,D6,S,,126,"Springfield, MA"
1,1,"Longley, Miss. Gretchen Fiske",F,21,0,0,13502,77.9583,D9,S,10,,"Hudson, NY"
0,1,"Loring, Mr. Joseph Holland",M,30,0,0,113801,45.5,,S,,,"London / New York, NY"
1,1,"Lurette, Miss. Elise",F,58,0,0,PC 17569,146.5208,B80,C,,,
1,1,"Madill, Miss. Georgette Alexandra",F,15,0,1,24160,211.3375,B5,S,2,,"St Louis, MO"
0,1,"Maguire, Mr. John Edward",M,30,0,0,110469,26,C106,S,,,"Brockton, MA"
1,1,"Maioni, Miss. Roberta",F,16,0,0,110152,86.5,B79,S,8,,
1,1,"Marechal, Mr. Pierre",M,,0,0,11774,29.7,C47,C,7,,"Paris, France"
0,1,"Marvin, Mr. Daniel Warner",M,19,1,0,113773,53.1,D30,S,,,"New York, NY"
1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",F,18,1,0,113773,53.1,D30,S,10,,"New York, NY"
1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",F,24,0,0,PC 17482,49.5042,C90,C,6,,"Belgium  Montreal, PQ"
0,1,"McCaffry, Mr. Thomas Francis",M,46,0,0,13050,75.2417,C6,C,,292,"Vancouver, BC"
0,1,"McCarthy, Mr. Timothy J",M,54,0,0,17463,51.8625,E46,S,,175,"Dorchester, MA"
1,1,"McGough, Mr. James Robert",M,36,0,0,PC 17473,26.2875,E25,S,7,,"Philadelphia, PA"
0,1,"Meyer, Mr. Edgar Joseph",M,28,1,0,PC 17604,82.1708,,C,,,"New York, NY"
1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",F,,1,0,PC 17604,82.1708,,C,6,,"New York, NY"
0,1,"Millet, Mr. Francis Davis",M,65,0,0,13509,26.55,E38,S,,249,"East Bridgewater, MA"
0,1,"Minahan, Dr. William Edward",M,44,2,0,19928,90,C78,Q,,230,"Fond du Lac, WI"
1,1,"Minahan, Miss. Daisy E",F,33,1,0,19928,90,C78,Q,14,,"Green Bay, WI"
1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",F,37,1,0,19928,90,C78,Q,14,,"Fond du Lac, WI"
1,1,"Mock, Mr. Philipp Edmund",M,30,1,0,13236,57.75,C78,C,11,,"New York, NY"
0,1,"Molson, Mr. Harry Markland",M,55,0,0,113787,30.5,C30,S,,,"Montreal, PQ"
0,1,"Moore, Mr. Clarence Bloomfield",M,47,0,0,113796,42.4,,S,,,"Washington, DC"
0,1,"Natsch, Mr. Charles H",M,37,0,1,PC 17596,29.7,C118,C,,,"Brooklyn, NY"
1,1,"Newell, Miss. Madeleine",F,31,1,0,35273,113.275,D36,C,6,,"Lexington, MA"
1,1,"Newell, Miss. Marjorie",F,23,1,0,35273,113.275,D36,C,6,,"Lexington, MA"
0,1,"Newell, Mr. Arthur Webster",M,58,0,2,35273,113.275,D48,C,,122,"Lexington, MA"
1,1,"Newsom, Miss. Helen Monypeny",F,19,0,2,11752,26.2833,D47,S,5,,"New York, NY"
0,1,"Nicholson, Mr. Arthur Ernest",M,64,0,0,693,26,,S,,263,"Isle of Wight, England"
1,1,"Oliva y Ocana, Dona. Fermina",F,39,0,0,PC 17758,108.9,C105,C,8,,
1,1,"Omont, Mr. Alfred Fernand",M,,0,0,F.C. 12998,25.7417,,C,7,,"Paris, France"
1,1,"Ostby, Miss. Helene Ragnhild",F,22,0,1,113509,61.9792,B36,C,5,,"Providence, RI"
0,1,"Ostby, Mr. Engelhart Cornelius",M,65,0,1,113509,61.9792,B30,C,,234,"Providence, RI"
0,1,"Ovies y Rodriguez, Mr. Servando",M,28.5,0,0,PC 17562,27.7208,D43,C,,189,"?Havana, Cuba"
0,1,"Parr, Mr. William Henry Marsh",M,,0,0,112052,0,,S,,,Belfast
0,1,"Partner, Mr. Austen",M,45.5,0,0,113043,28.5,C124,S,,166,"Surbiton Hill, Surrey"
0,1,"Payne, Mr. Vivian Ponsonby",M,23,0,0,12749,93.5,B24,S,,,"Montreal, PQ"
0,1,"Pears, Mr. Thomas Clinton",M,29,1,0,113776,66.6,C2,S,,,"Isleworth, England"
1,1,"Pears, Mrs. Thomas (Edith Wearne)",F,22,1,0,113776,66.6,C2,S,8,,"Isleworth, England"
0,1,"Penasco y Castellana, Mr. Victor de Satode",M,18,1,0,PC 17758,108.9,C65,C,,,"Madrid, Spain"
1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",F,17,1,0,PC 17758,108.9,C65,C,8,,"Madrid, Spain"
1,1,"Perreault, Miss. Anne",F,30,0,0,12749,93.5,B73,S,3,,
1,1,"Peuchen, Major. Arthur Godfrey",M,52,0,0,113786,30.5,C104,S,6,,"Toronto, ON"
0,1,"Porter, Mr. Walter Chamberlain",M,47,0,0,110465,52,C110,S,,207,"Worcester, MA"
1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",F,56,0,1,11767,83.1583,C50,C,7,,"Mt Airy, Philadelphia, PA"
0,1,"Reuchlin, Jonkheer. John George",M,38,0,0,19972,0,,S,,,"Rotterdam, Netherlands"
1,1,"Rheims, Mr. George Alexander Lucien",M,,0,0,PC 17607,39.6,,S,A,,"Paris /  New York, NY"
0,1,"Ringhini, Mr. Sante",M,22,0,0,PC 17760,135.6333,,C,,232,
0,1,"Robbins, Mr. Victor",M,,0,0,PC 17757,227.525,,C,,,
